Designator,Mid X,Mid Y,Rotation,Layer
C1,130.5,-95.52,270.0,top
C10,134.5,-99.5,90.0,top
C11,135.75,-99.5,90.0,top
C12,137.0,-99.52,90.0,top
C13,134.0,-79.73,90.0,top
C14,141.0,-110.73,90.0,top
C15,135.9,-118.35,90.0,top
C16,133.13,-120.85,0.0,top
C17,136.27,-78.25,180.0,top
C2,131.75,-95.52,270.0,top
C3,133.0,-95.52,270.0,top
C4,134.25,-95.52,270.0,top
C5,129.25,-95.48,270.0,top
C6,132.27,-81.5,180.0,top
C7,128.0,-95.48,270.0,top
C8,135.05,-121.48,90.0,top
C9,135.5,-95.23,270.0,top
J1,135.0,-70.5,180.0,top
J2,116.75,-101.13,0.0,bottom
J3,139.96,-125.25,90.0,bottom
J4,153.25,-101.13,180.0,bottom
J5,153.25,-73.4,0.0,bottom
R1,141.99,-74.5,0.0,top
R2,136.0,-80.25,0.0,top
R3,141.0,-106.51,90.0,top
R4,140.25,-104.0,0.0,top
R5,130.4,-118.35,90.0,top
R6,138.75,-95.51,270.0,top
R7,140.0,-95.51,90.0,top
SW1,138.5,-86.5,0.0,top
U1,134.7,-110.05,90.0,top
U2,132.5,-86.1875,270.0,top
U3,130.75,-102.25,0.0,top
Y1,133.15,-118.35,0.0,top
